epoch,acc,loss,lr,val_acc,val_loss
0,0.484,92.31975727,0.001,0.4525,14.51925597
1,0.4689,9.303473505,0.001,0.219,7.386135361
2,0.4853,5.616408309,0.001,0.42,4.504825188
3,0.5503,3.639989582,0.001,0.522,3.228271935
4,0.5822,2.924148841,0.001,0.499,2.950810551
5,0.5853,2.661440793,0.001,0.4765,2.925002438
6,0.6129,2.344038087,0.001,0.5195,2.415518513
7,0.6347,2.092151019,0.001,0.3375,4.95764698
8,0.6422,2.050167472,0.001,0.528,2.255564789
9,0.6358,2.115386338,0.001,0.5845,2.29951129
10,0.659,1.930742367,0.001,0.5155,2.317677549
11,0.6619,1.974890065,0.001,0.595,1.98159409
12,0.6715,1.930854232,0.001,0.517,2.70958687
13,0.6744,1.854203053,0.001,0.655,1.913355183
14,0.6838,1.787444394,0.001,0.6065,1.872819959
15,0.6943,1.750688829,0.001,0.527,2.024192797
16,0.7072,1.638292502,0.001,0.45,3.50100876
17,0.7178,1.561659907,0.001,0.492,2.158381779
18,0.717,1.601577347,0.001,0.6235,1.80014209
19,0.7286,1.530414544,0.001,0.6055,1.921915749
20,0.7365,1.445817967,0.001,0.579,1.940682123
21,0.7382,1.397624986,0.001,0.6055,1.848171754
22,0.7483,1.374781855,0.001,0.575,2.052576768
23,0.7535,1.389807626,0.001,0.563,2.044405636
24,0.83,0.957952376,0.000316228,0.6785,1.441337087
25,0.8569,0.819397895,0.000316228,0.67,1.418844432
26,0.8797,0.734310734,0.000316228,0.7115,1.290122087
27,0.882,0.710649214,0.000316228,0.6945,1.41120946
28,0.8904,0.671568994,0.000316228,0.672,1.566734082
29,0.903,0.654481996,0.000316228,0.6985,1.703230758
30,0.9051,0.642836328,0.000316228,0.5885,2.053377514
31,0.919,0.593611326,0.000316228,0.686,1.643405974
32,0.9553,0.484811767,0.0001,0.7075,1.510109289
33,0.9782,0.413993478,0.0001,0.7035,1.587238134
34,0.9814,0.38892446,0.0001,0.705,1.648693104
35,0.9873,0.366304638,0.0001,0.708,1.658744926
36,0.984,0.362112101,0.0001,0.707,1.722920432
